t,output
0.268,0.05393632
0.269,0.054461993
0.27,0.054990508
0.271,0.055521864
0.272,0.056056064
0.273,0.0565931
0.274,0.05713298
0.275,0.057675708
0.276,0.058221277
0.277,0.058769688
0.278,0.05932094
0.279,0.059875038
0.28,0.060431976
0.281,0.06099176
0.282,0.061554387
0.283,0.062119856
0.284,0.062688164
0.285,0.06325932
0.286,0.06383331
0.287,0.06441015
0.288,0.06498983
0.289,0.06557235
0.29,0.06615771
0.291,0.066745915
0.292,0.067336954
0.293,0.06793083
0.294,0.06852755
0.295,0.069127105
0.296,0.0697295
0.297,0.070334725
0.298,0.07094279
0.299,0.071553685
0.3,0.07216741
0.301,0.07278398
0.302,0.07340337
0.303,0.0740256
0.304,0.07465065
0.305,0.075278535
0.306,0.07590924
0.307,0.07654278
0.308,0.07717914
0.309,0.07781832
0.31,0.07846032
0.311,0.079105146
0.312,0.07975279
0.313,0.080403246
0.314,0.08105652
0.315,0.08171261
0.316,0.08237151
0.317,0.08303323
0.318,0.08369775
0.319,0.084365085
0.32,0.08503522
0.321,0.08570816
0.322,0.08638391
0.323,0.08706245
0.324,0.08774379
0.325,0.08842792
0.326,0.08911485
0.327,0.089804575
0.328,0.09049709
0.329,0.091192394
0.33,0.091890484
0.331,0.09259135
0.332,0.09329501
0.333,0.09400144
0.334,0.09471065
0.335,0.09542263
0.336,0.09613739
0.337,0.09685491
0.338,0.0975752
0.339,0.09829826
0.34,0.09902408
0.341,0.09975266
0.342,0.10048399
0.343,0.10121808
0.344,0.10195492
0.345,0.10269451
0.346,0.10343684
0.347,0.104181916
0.348,0.10492973
0.349,0.10568029
0.35,0.10643358
0.351,0.107189596
0.352,0.10794834
0.353,0.10870981
0.354,0.109474
0.355,0.110240914
0.356,0.111010544
0.357,0.111782886
0.358,0.11255794
0.359,0.1133357
0.36,0.11411616
0.361,0.11489932
0.362,0.11568518
0.363,0.11647373
0.364,0.11726496
0.365,0.11805889
0.366,0.1188555
0.367,0.11965479
0.368,0.120456755
0.369,0.12126139
0.37,0.122068696
0.371,0.12287866
0.372,0.12369129
0.373,0.12450658
0.374,0.12532452
0.375,0.12614511
0.376,0.12696835
0.377,0.12779424
0.378,0.12862276
0.379,0.12945391
0.38,0.13028769
0.381,0.13112411
0.382,0.13196315
0.383,0.1328048
0.384,0.13364907
0.385,0.13449594
0.386,0.13534543
0.387,0.13619752
0.388,0.13705221
0.389,0.13790949
0.39,0.13876936
0.391,0.13963181
0.392,0.14049684
0.393,0.14136444
0.394,0.14223462
0.395,0.14310737
0.396,0.14398268
0.397,0.14486055
0.398,0.14574099
0.399,0.14662397
0.4,0.1475095
0.401,0.14839756
0.402,0.14928816
0.403,0.1501813
0.404,0.15107696
0.405,0.15197514
0.406,0.15287584
0.407,0.15377906
0.408,0.15468478
0.409,0.15559301
0.41,0.15650374
0.411,0.15741695
0.412,0.15833266
0.413,0.15925086
0.414,0.16017152
0.415,0.16109468
0.416,0.1620203
0.417,0.16294838
0.418,0.16387893
0.419,0.16481192
0.42,0.16574737
0.421,0.16668527
0.422,0.1676256
0.423,0.16856837
0.424,0.16951357
0.425,0.1704612
0.426,0.17141123
0.427,0.17236368
0.428,0.17331855
0.429,0.17427582
0.43,0.17523548
0.431,0.17619753
0.432,0.17716196
0.433,0.17812878
0.434,0.17909798
0.435,0.18006955
0.436,0.18104349
0.437,0.18201979
0.438,0.18299843
0.439,0.18397944
0.44,0.18496278
0.441,0.18594846
0.442,0.18693647
0.443,0.1879268
0.444,0.18891945
0.445,0.18991442
0.446,0.1909117
0.447,0.19191128
0.448,0.19291316
0.449,0.19391733
0.45,0.1949238
0.451,0.19593255
0.452,0.19694357
0.453,0.19795686
0.454,0.1989724
0.455,0.19999021
0.456,0.20101027
0.457,0.20203258
0.458,0.20305713
0.459,0.2040839
0.46,0.2051129
0.461,0.20614414
0.462,0.20717758
0.463,0.20821323
0.464,0.20925108
0.465,0.21029113
0.466,0.21133338
0.467,0.21237782
0.468,0.21342443
0.469,0.21447322
0.47,0.21552417
0.471,0.21657728
0.472,0.21763255
0.473,0.21868996
0.474,0.21974953
0.475,0.22081122
0.476,0.22187504
0.477,0.22294098
0.478,0.22400904
0.479,0.22507921
0.48,0.22615148
0.481,0.22722585
0.482,0.22830231
0.483,0.22938086
0.484,0.2304615
0.485,0.2315442
0.486,0.23262896
0.487,0.23371579
0.488,0.23480466
0.489,0.23589559
0.49,0.23698854
0.491,0.23808354
0.492,0.23918056
0.493,0.2402796
0.494,0.24138065
0.495,0.2424837
0.496,0.24358876
0.497,0.24469581
0.498,0.24580485
0.499,0.24691586
0.5,0.24802886
0.501,0.24914382
0.502,0.25026074
0.503,0.2513796
0.504,0.2525004
0.505,0.25362316
0.506,0.25474784
0.507,0.25587445
0.508,0.25700298
0.509,0.25813344
0.51,0.25926578
0.511,0.26040003
0.512,0.26153618
0.513,0.2626742
0.514,0.26381412
0.515,0.2649559
0.516,0.26609954
0.517,0.26724502
0.518,0.26839238
0.519,0.26954156
0.52,0.2706926
0.521,0.27184543
